"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Significant"
1.4765649,13.7411779,5.28378891518881,3.50284821507782e-05,0.00387618286680917,2.42171112794477,"COL1A2","Up"
1.4763034,11.1138779,5.00836750249355,6.59321967465795e-05,0.00529076866875871,1.82586145126023,"ECT2","Up"
1.47619643,9.397220405,3.32156580319649,0.00337667163455476,0.0387093806222147,-1.87205630002291,"CENPA","Up"
1.4590685,9.8222748,4.13352315124023,0.000507628610780556,0.0141646635840913,-0.0981626902320025,"PLAU","Up"
1.45894047,5.536739125,3.86915622631815,0.000943857405630515,0.0196471370487825,-0.681139809030524,"ELOVL2","Up"
1.45614920000001,11.1540543,5.84686296782935,9.83926691695944e-06,0.00254244616976684,3.61474959110965,"HTRA1","Up"
1.45605174,7.96339132,4.09859696945945,0.000550996058266065,0.0147095285204854,-0.175302040251744,"DOK5","Up"
1.45604342,8.76448339,5.02046917944946,6.41165228606242e-05,0.0052480580011058,1.85218382895645,"TMEM158","Up"
1.4535559,10.12533975,3.19791248079484,0.00448548528113843,0.0456253412604719,-2.13535199046381,"ANLN","Up"
1.44653459,7.448516275,4.07717591510539,0.000579407384176909,0.0152019699064696,-0.22260167676377,"TEAD4","Up"
1.44555959,7.860428175,5.33237889837249,3.1352498452888e-05,0.00373978193589922,2.52607441320644,"ALDH1B1","Up"
1.44224089,6.654079485,3.61770438441207,0.00169920860268403,0.0267805917067394,-1.23196830337183,"MFGE8","Up"
1.44199185,9.968143425,3.78496690218784,0.00114958200722261,0.021882016870101,-0.866103711725713,"COL5A1","Up"
1.4417753,10.51762225,4.45468832884865,0.000239049459779443,0.00966663427115025,0.611277739139078,"MYH10","Up"
1.43344079,8.300575305,3.29476321945112,0.003591622203996,0.0401183448800955,-1.9293572421712,"TDO2","Up"
1.43169731,5.635855145,3.68545543659333,0.00145073092061506,0.0248064533799646,-1.08406803345339,"BMP8A","Up"
1.4292888,8.80784984,3.76783859709369,0.00119659527437309,0.0222704557286223,-0.903676000168312,"BUB1","Up"
1.428481,11.1141125,4.40910643961056,0.000265974738425231,0.010135318367901,0.510664689461558,"ATP11A","Up"
1.42840345,10.779716475,5.35201257018394,2.99808979998981e-05,0.00368382261186258,2.56817484637997,"TUBB6","Up"
1.4245339,10.70557705,4.36328497759828,0.000296118542647497,0.0106070544202832,0.409477200561589,"ITGA2","Up"
